ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
CDE6023BE6B11D2F,electric_bike,1/1/2024 0:14,1/1/2024 0:15,,,,,41.89,-87.65,41.89,-87.65,casual
462B48CD292B6A18,electric_bike,1/1/2024 0:13,1/1/2024 0:13,,,,,41.89,-87.65,41.89,-87.65,casual
9CFB6A858D23ABF7,electric_bike,1/1/2024 0:18,1/1/2024 0:21,,,,,41.93,-87.65,41.94,-87.65,casual
6365EFEB64231153,electric_bike,1/1/2024 0:38,1/1/2024 0:05,,,,,41.88,-87.64,41.88,-87.64,casual
BA0323C33134CBA8,electric_bike,1/1/2024 0:07,1/1/2024 0:07,,,,,41.94,-87.64,41.94,-87.64,casual
DE26F0D728517B77,electric_bike,1/1/2024 0:09,1/1/2024 0:09,,,,,41.94,-87.64,41.94,-87.64,casual
C806B4280D388CC0,electric_bike,1/1/2024 0:09,1/1/2024 0:15,,,,,41.94,-87.64,41.93,-87.64,casual
45CBD564C461DBE9,electric_bike,1/1/2024 0:15,1/1/2024 0:18,,,,,41.91,-87.63,41.87,-87.61,casual
D943D9C4841D9A60,electric_bike,1/1/2024 0:35,1/1/2024 0:35,,,,,41.91,-87.74,41.91,-87.74,casual
2C9D2B7821354BFF,electric_bike,1/1/2024 0:34,1/1/2024 0:34,,,,,41.91,-87.74,41.91,-87.74,casual
17DE443860E503FE,electric_bike,1/1/2024 0:31,1/1/2024 0:40,,,,,41.89,-87.62,41.88,-87.63,casual
9CA37E8BE56A5C78,electric_bike,1/1/2024 0:35,1/1/2024 0:37,,,,,41.8,-87.7,41.79,-87.7,casual
0B8832ED94F388DB,electric_bike,1/1/2024 0:35,1/1/2024 0:35,,,,,41.8,-87.7,41.8,-87.7,casual
4FB7A017D9EF3A0E,electric_bike,1/1/2024 0:40,1/1/2024 0:14,,,,,41.88,-87.64,41.94,-87.66,casual
D58B179696F4324F,electric_bike,1/1/2024 0:08,1/1/2024 0:17,,,,,41.89,-87.65,41.91,-87.63,casual
06C4D74206854FBF,electric_bike,1/1/2024 0:29,1/1/2024 0:41,,,,,41.91,-87.68,41.95,-87.71,casual
F3D133067309C8DF,electric_bike,1/1/2024 0:41,1/1/2024 0:08,,,,,41.93,-87.71,41.91,-87.68,casual
A414D79BAEA2477F,electric_bike,1/1/2024 0:25,1/1/2024 0:32,,,Wood St & Chicago Ave,637,41.88,-87.65,41.895634,-87.672069,casual
BC90824485F264B8,electric_bike,1/1/2024 0:02,1/1/2024 0:04,,,,,42.05,-87.68,42.05,-87.69,casual
755CCE9433F82C7B,electric_bike,1/1/2024 0:16,1/1/2024 0:17,,,,,41.73,-87.64,41.73,-87.64,casual
EFEF2B0D1219A875,electric_bike,1/1/2024 0:18,1/1/2024 0:17,,,,,41.73,-87.64,41.69,-87.61,casual
05161B08F1E67DF4,electric_bike,1/1/2024 0:15,1/1/2024 0:15,,,,,41.73,-87.64,41.73,-87.64,casual
45C7F5E0A3B868FB,electric_bike,1/1/2024 0:24,1/1/2024 0:27,,,,,41.99,-87.66,41.99,-87.65,casual
6BFB364B3E37D8CF,electric_bike,1/1/2024 0:26,1/1/2024 0:28,,,,,41.98,-87.67,41.98,-87.66,casual
6FF9658ECD4E8579,electric_bike,1/1/2024 0:25,1/1/2024 0:29,,,,,41.89,-87.62,41.89,-87.63,casual
ACF94376DF9439C4,electric_bike,1/1/2024 0:32,1/1/2024 0:38,,,,,41.89,-87.64,41.89,-87.66,casual
B30F947AA63AAF29,electric_bike,1/1/2024 0:24,1/1/2024 0:34,,,,,41.89,-87.61,41.89,-87.66,casual
78C3E0CEC1D486EC,electric_bike,1/1/2024 0:07,1/1/2024 0:14,,,,,41.88,-87.67,41.89,-87.65,casual
2DB5C2E15C81C2DC,electric_bike,1/1/2024 0:18,1/1/2024 0:30,,,,,41.9,-87.66,41.93,-87.71,casual
2A64EDA8E7633BFA,electric_bike,1/1/2024 0:28,1/1/2024 0:32,,,,,41.93,-87.66,41.95,-87.66,casual
9B010D145E668CF2,electric_bike,1/1/2024 0:01,1/1/2024 0:04,,,,,41.95,-87.66,41.93,-87.65,casual
A1706A02C670B91B,electric_bike,1/1/2024 0:38,1/1/2024 0:40,,,,,41.9,-87.65,41.9,-87.65,casual
DBC2313E1C977713,electric_bike,1/1/2024 0:15,1/1/2024 0:20,,,,,41.87,-87.68,41.87,-87.66,member
9A1F6536BC70EEAB,electric_bike,1/1/2024 0:20,1/1/2024 0:22,,,,,41.87,-87.66,41.87,-87.65,member
B4C3B68E7947FFF9,electric_bike,1/1/2024 0:35,1/1/2024 0:41,,,,,41.92,-87.63,41.93,-87.65,casual
3DC8F84A491B886A,electric_bike,1/1/2024 0:08,1/1/2024 0:08,,,,,41.89,-87.61,41.89,-87.61,casual
E8CE71B6054D4F61,electric_bike,1/1/2024 0:08,1/1/2024 0:25,,,,,41.89,-87.61,41.88,-87.62,casual
7334391F52D7DC19,electric_bike,1/1/2024 0:10,1/1/2024 0:26,,,,,41.96,-87.65,41.9,-87.63,casual
9AC42182B1873BFC,electric_bike,1/1/2024 0:02,1/1/2024 0:10,,,,,41.89,-87.61,41.84,-87.61,casual
8D649A54FF0CC2D1,electric_bike,1/1/2024 0:20,1/1/2024 0:27,,,,,41.89,-87.62,41.88,-87.62,casual
76D05F5D2C3EA53B,electric_bike,1/1/2024 0:38,1/1/2024 0:41,,,,,41.93,-87.65,41.92,-87.64,casual
2EA0A8AF27858D14,electric_bike,1/1/2024 0:38,1/1/2024 0:41,,,,,41.89,-87.62,41.89,-87.62,casual
A98F9F43F3A1DF22,electric_bike,1/1/2024 0:09,1/1/2024 0:26,,,,,41.88,-87.63,41.91,-87.62,casual
F9034E58308A8F08,electric_bike,1/1/2024 0:03,1/1/2024 0:04,,,,,42,-87.66,42.01,-87.66,casual
C6EB1797FCFAD4C4,electric_bike,1/1/2024 0:22,1/1/2024 0:27,,,,,41.99,-87.68,42,-87.67,casual
CCDA88AD3B720103,electric_bike,1/1/2024 0:25,1/1/2024 0:29,,,,,41.99,-87.68,42,-87.67,casual
FAA8B7727CC9DE9D,electric_bike,1/1/2024 0:34,1/1/2024 0:36,,,,,42,-87.67,41.99,-87.68,casual
EE9F2E3EE449F1CA,electric_bike,1/1/2024 0:02,1/1/2024 0:29,,,,,42,-87.66,41.98,-87.67,casual
445B893257F5B09C,electric_bike,1/1/2024 0:06,1/1/2024 0:14,,,,,41.95,-87.65,41.96,-87.67,casual
4319A20A6E8170B8,electric_bike,1/1/2024 0:18,1/1/2024 0:22,,,,,41.96,-87.67,41.95,-87.67,casual
A4E05ADB3017C86D,electric_bike,1/1/2024 0:11,1/1/2024 0:13,,,,,41.91,-87.62,41.91,-87.62,casual
B85981EFD41F995E,electric_bike,1/1/2024 0:16,1/1/2024 0:27,,,,,41.93,-87.65,41.9,-87.67,casual
40AFF95DCEBEEF8C,electric_bike,1/1/2024 0:18,1/1/2024 0:18,,,,,41.91,-87.63,41.91,-87.63,casual
6B1F6206083C9FF5,electric_bike,1/1/2024 0:11,1/1/2024 0:14,,,,,41.89,-87.63,41.88,-87.64,casual
29660F42C6EC1836,electric_bike,1/1/2024 0:13,1/1/2024 0:13,,,,,41.96,-87.66,41.96,-87.66,casual
8CA79A31485C3B97,electric_bike,1/1/2024 0:14,1/1/2024 0:21,,,,,41.96,-87.66,41.96,-87.65,casual
82B7A2985CDE183F,electric_bike,1/1/2024 0:18,1/1/2024 0:25,,,,,41.95,-87.65,41.96,-87.67,casual
A9D471F665EAE58B,electric_bike,1/1/2024 0:02,1/1/2024 0:33,,,,,41.92,-87.63,41.89,-87.6,casual
66BA5E6568C53FE1,electric_bike,1/1/2024 0:29,1/1/2024 0:38,,,,,41.92,-87.64,41.89,-87.64,casual
7F07D5AD6C989C9A,electric_bike,1/1/2024 0:32,1/1/2024 0:40,,,,,41.87,-87.68,41.9,-87.67,casual
D3AF7226EA880F99,electric_bike,1/1/2024 0:42,1/1/2024 0:35,,,,,41.91,-87.75,41.91,-87.76,casual
75D79D2A55D927E4,electric_bike,1/1/2024 0:35,1/1/2024 2:14,,,California Ave & Division St,13256,41.93,-87.71,41.903029,-87.697474,casual
98706087A8BE1F16,electric_bike,1/1/2024 0:12,1/1/2024 0:12,,,,,41.9,-87.63,41.9,-87.63,casual
844B878127142916,electric_bike,1/1/2024 0:12,1/1/2024 0:14,,,,,41.9,-87.63,41.89,-87.63,casual
CDF7618D4FC8E265,electric_bike,1/1/2024 0:24,1/1/2024 0:40,,,,,41.97,-87.66,42.02,-87.68,casual
DA6ACACF26645A46,electric_bike,1/1/2024 0:32,1/1/2024 0:02,,,,,41.8,-87.72,41.84,-87.72,casual
B8BD3D8EFFE4274E,electric_bike,1/1/2024 0:31,1/1/2024 0:31,,,,,41.8,-87.72,41.8,-87.72,casual
707F4ED8BBACC30C,electric_bike,1/1/2024 0:17,1/1/2024 0:26,,,,,41.89,-87.63,41.9,-87.67,casual
D4D201CD0739424A,electric_bike,1/1/2024 0:15,1/1/2024 0:19,,,,,41.95,-87.66,41.93,-87.65,casual
19EF6D5814B4B39B,electric_bike,1/1/2024 0:11,1/1/2024 0:17,,,,,41.91,-87.64,41.91,-87.62,casual
E431803D511F36C6,electric_bike,1/1/2024 0:32,1/1/2024 0:33,,,,,41.89,-87.67,41.89,-87.66,casual
E5EABBEB0B2EBE59,electric_bike,1/1/2024 0:31,1/1/2024 0:16,,,,,41.92,-87.63,41.98,-87.66,casual
F436D2A57D841D1C,electric_bike,1/1/2024 0:03,1/1/2024 0:08,,,,,41.88,-87.63,41.86,-87.63,member
DDFB2638BF7DA62A,electric_bike,1/1/2024 0:36,1/1/2024 0:38,,,,,41.88,-87.63,41.88,-87.63,member
238CF854F7B992AF,electric_bike,1/1/2024 0:06,1/1/2024 0:13,,,,,41.91,-87.66,41.91,-87.62,casual
34C064569C112C65,electric_bike,1/1/2024 0:20,1/1/2024 0:27,,,,,41.91,-87.62,41.91,-87.65,casual
7FB343563C9C62D6,electric_bike,1/1/2024 0:39,1/1/2024 0:00,,,,,41.91,-87.65,41.92,-87.66,casual
9B72E259B93DAFDF,electric_bike,1/1/2024 0:41,1/1/2024 0:08,,,,,41.94,-87.64,41.96,-87.64,casual
318ED143B761530A,electric_bike,1/1/2024 0:12,1/1/2024 0:16,,,,,41.93,-87.65,41.93,-87.66,casual
C2E06EE1C9C647EC,electric_bike,1/1/2024 0:35,1/1/2024 0:04,,,,,41.99,-87.67,41.96,-87.64,casual
A8D2784798AFE340,electric_bike,1/1/2024 0:31,1/1/2024 0:32,,,,,41.91,-87.63,41.91,-87.63,casual
98F9F0F985637B5A,electric_bike,1/1/2024 0:34,1/1/2024 0:38,,,,,41.92,-87.64,41.91,-87.63,casual
904FB64B99809040,electric_bike,1/1/2024 0:32,1/1/2024 0:39,,,,,41.91,-87.63,41.92,-87.64,casual
43B8C994879577AD,electric_bike,1/1/2024 0:29,1/1/2024 0:34,,,,,41.95,-87.67,41.95,-87.66,casual
9894A1EA36570B0C,electric_bike,1/1/2024 0:37,1/1/2024 0:02,,,,,41.91,-87.63,41.91,-87.63,casual
BF5E84505DE3AB61,electric_bike,1/1/2024 0:07,1/1/2024 0:08,,,,,41.91,-87.63,41.91,-87.63,casual
46745014FD5F50E8,electric_bike,1/1/2024 0:09,1/1/2024 0:15,,,,,41.93,-87.64,41.93,-87.66,casual
0671BA8A93447B57,electric_bike,1/1/2024 0:39,1/1/2024 0:02,,,,,41.93,-87.64,41.92,-87.63,casual
E7F09F7B216CB192,electric_bike,1/1/2024 0:20,1/1/2024 0:26,,,,,41.92,-87.63,41.93,-87.64,casual
923B34F2EEF2A94B,electric_bike,1/1/2024 0:12,1/1/2024 0:22,,,,,41.95,-87.65,41.97,-87.67,casual
D759288298061EF9,electric_bike,1/1/2024 0:11,1/1/2024 0:02,,,,,41.98,-87.67,41.89,-87.63,casual
B60079A80B0FFDFE,electric_bike,1/1/2024 0:27,1/1/2024 0:17,,,,,41.96,-87.64,41.91,-87.69,casual
94838F816820604B,electric_bike,1/1/2024 0:25,1/1/2024 0:31,,,,,41.92,-87.63,41.92,-87.64,casual
CFB302F2BE08B198,electric_bike,1/1/2024 0:07,1/1/2024 0:10,,,,,41.97,-87.69,41.97,-87.67,casual
467D7D1C7F7D8973,electric_bike,1/1/2024 0:14,1/1/2024 0:27,,,,,41.94,-87.67,41.97,-87.69,casual
9FE1D2CE7C2C4FC6,electric_bike,1/1/2024 0:15,1/1/2024 0:19,,,,,41.97,-87.67,41.97,-87.69,casual
C8E00E7D6A358523,electric_bike,1/1/2024 0:18,1/1/2024 0:20,,,,,41.89,-87.65,41.89,-87.65,casual
28DAE6CE47C4EA48,electric_bike,1/1/2024 0:26,1/1/2024 0:33,,,,,41.93,-87.64,41.91,-87.63,casual
F28AF1F889BB1FE2,electric_bike,1/1/2024 0:30,1/1/2024 0:31,,,,,41.89,-87.63,41.89,-87.63,casual
823F0B3F5F8191A6,electric_bike,1/1/2024 0:09,1/1/2024 0:26,,,,,41.9,-87.66,41.93,-87.65,casual
5284F26AAF8E2F95,electric_bike,1/1/2024 0:13,1/1/2024 0:23,,,,,41.93,-87.65,41.9,-87.66,casual
F1DE74DD8271E9FF,electric_bike,1/1/2024 0:30,1/1/2024 0:06,,,,,41.89,-87.65,41.91,-87.71,casual
0004EEFC3D975063,electric_bike,1/1/2024 0:23,1/1/2024 0:23,,,,,41.92,-87.64,41.92,-87.64,casual
A8046A1968E8B589,electric_bike,1/1/2024 0:40,1/1/2024 0:04,,,,,41.93,-87.65,41.94,-87.65,casual
BE1B17A88D9A1389,electric_bike,1/1/2024 0:20,1/1/2024 0:01,,,,,41.91,-87.69,41.98,-87.67,casual
3D0CC4981980A7AB,electric_bike,1/1/2024 0:15,1/1/2024 0:19,,,,,41.79,-87.6,41.8,-87.59,casual
A9ED9E9DEB124D34,electric_bike,1/1/2024 0:10,1/1/2024 0:17,,,California Ave & Milwaukee Ave,13084,41.91,-87.67,41.922695,-87.697153,casual
BA034E9FF32EDEB1,electric_bike,1/1/2024 0:04,1/1/2024 0:12,,,,,41.88,-87.63,41.89,-87.66,casual
47A3AB74B85A274C,electric_bike,1/1/2024 0:27,1/1/2024 0:27,,,,,41.91,-87.62,41.91,-87.62,casual
A36CA63BD59CC8D6,electric_bike,1/1/2024 0:28,1/1/2024 0:20,,,,,41.91,-87.62,41.91,-87.63,casual
7BB2CECEAB083ECE,electric_bike,1/1/2024 0:17,1/1/2024 0:20,,,,,41.97,-87.65,41.95,-87.65,casual
C9A89BE833C0F042,electric_bike,1/1/2024 0:20,1/1/2024 0:25,,,,,41.97,-87.64,41.95,-87.64,casual
4E3AF2F9C8DE6ABA,electric_bike,1/1/2024 0:19,1/1/2024 0:20,,,,,41.97,-87.64,41.97,-87.64,casual
41BB2C93B2920003,electric_bike,1/1/2024 0:05,1/1/2024 0:10,,,,,41.9,-87.69,41.91,-87.68,casual
A0C3E25B08B95170,electric_bike,1/1/2024 0:13,1/1/2024 0:29,,,,,41.92,-87.68,41.97,-87.69,casual
0FB8E40AB46C9610,electric_bike,1/1/2024 0:33,1/1/2024 0:40,,,,,42.05,-87.68,42.05,-87.67,casual
3D76AF92953C694E,electric_bike,1/1/2024 0:11,1/1/2024 0:16,,,,,42.06,-87.68,42.05,-87.67,casual
61D097DC23A5A0D8,electric_bike,1/1/2024 0:33,1/1/2024 0:36,,,,,42.05,-87.67,42.06,-87.68,casual
F2727DC63B4A1EB9,electric_bike,1/1/2024 0:04,1/1/2024 0:09,,,,,42.05,-87.68,42.05,-87.68,casual
D10FE4E6C4D741D8,electric_bike,1/1/2024 0:14,1/1/2024 0:19,,,,,42.05,-87.67,42.05,-87.67,casual
0A1ED7EB8487373F,electric_bike,1/1/2024 0:10,1/1/2024 0:31,,,,,41.92,-87.64,41.89,-87.63,casual
AC1DDC3C20111B00,electric_bike,1/1/2024 0:23,1/1/2024 0:23,,,,,41.86,-87.71,41.86,-87.71,casual
3588D9776AE3513C,electric_bike,1/1/2024 0:26,1/1/2024 0:27,,,,,41.91,-87.63,41.91,-87.63,casual
022A0F8A3F631B97,electric_bike,1/1/2024 0:24,1/1/2024 0:30,,,,,41.92,-87.63,41.93,-87.64,casual
061B6D6EC4A4149F,electric_bike,1/1/2024 0:41,1/1/2024 0:06,,,,,41.92,-87.7,41.92,-87.69,casual
